Elements,Z,Ka1,Ka1_w,Ka1_E,Ka2,Ka2_w,Ka2_E,Kb,Kb_w,Kb_E,La,La_w,La_E,Lb,Lb_w,Lb_E,Lg,Lg_w,Lg_E
Cl,17,318.37,19.27,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ti,22,539.69,24.26,4.51,0.00,0.00,0.00,591.20,23.03,4.93,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00
Cr,24,645.84,25.32,5.41,0.00,0.00,0.00,706.14,18.35,5.43,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00
Fe,26,761.82,27.34,6.40,0.00,0.00,0.00,838.74,25.65,7.06,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00
Ni,28,888.28,27.20,7.48,0.00,0.00,0.00,981.03,26.04,8.26,0.00,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00
Cu,29,954.96,28.43,8.05,0.00,0.00,0.00,1055.89,26.52,8.90,0.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00
Zn,30,1023.96,28.49,8.64,0.00,0.00,0.00,1134.47,27.60,9.57,0.00,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00
Ag,47,2601.93,41.16,22.16,2468.15,37.64,20.73,2933.42,28.82,24.94,366.71,37.16,2.98,0.00,0.00,0.00,0.00,0.00,0.00
Cd,48,2719.50,42.19,23.17,2586.35,44.62,21.73,3068.09,29.10,26.09,380.26,36.99,3.13,0.00,0.00,0.00,0.00,0.00,0.00
Sn,50,2963.35,26.79,25.27,2811.01,42.22,23.61,3346.84,35.12,28.48,417.03,19.00,3.44,445.41,6.1186,3.74,0.00,0.00,0.00
Gd,64,5046.88,32.60,42.98,4961.44,23.26,41.67,5703.48,7.64,48.72,722.58,17.49,6.06,803.94,18.58,6.71,0.00,0.00,0.00
Ta,73,0.00,0.00,57.52,0.00,0.00,0.00,0.00,0.00,0.00,967.59,28.80,8.15,1106.89,27.63,9.34,1288.99,20.28,10.83
Au,79,0.00,0.00,68.79,0.00,0.00,0.00,0.00,0.00,0.00,1150.45,27.48,9.71,1358.77,33.45,11.44,1580.63,4.68,13.28
Pb,82,0.00,0.00,74.96,0.00,0.00,0.00,0.00,0.00,0.00,1247.93,30.12,10.55,1491.42,28.67,12.61,1740.88,2.69,14.62
